"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Odisha","Dhenkanal","Hindol","Potato","Potato","23/04/2020","1800","2200","2000"
"Odisha","Dhenkanal","Hindol","Pumpkin","Pumpkin","23/04/2020","1400","1600","1500"
"Odisha","Dhenkanal","Hindol","Tomato","Tomato","23/04/2020","1700","2000","1800"
"Odisha","Malkangiri","Malkanagiri","Cabbage","Other","23/04/2020","1900","2100","2000"
"Odisha","Malkangiri","Malkanagiri","Drumstick","Other","23/04/2020","4000","4500","4300"
"Odisha","Malkangiri","Malkanagiri","Pointed gourd (Parval)","Other","23/04/2020","3700","4100","3900"
"Odisha","Malkangiri","Malkanagiri","Potato","Other","23/04/2020","2200","2500","2400"
"Odisha","Malkangiri","Malkanagiri","Tomato","Other","23/04/2020","1500","2000","1700"
"Odisha","Malkangiri","Malkangiri(Korakunda)","Cauliflower","Other","23/04/2020","3900","4200","4000"
"Odisha","Malkangiri","Malkangiri(Korakunda)","Cucumbar(Kheera)","Cucumbar","23/04/2020","1900","2200","2000"
"Odisha","Malkangiri","Malkangiri(Korakunda)","Onion","Other","23/04/2020","2300","2700","2500"
"Tamil Nadu","Coimbatore","Anaimalai","Coconut","Other","23/04/2020","3100","3300","3200"
"Tamil Nadu","Coimbatore","Palladam","Coconut","Other","23/04/2020","2290","2490","2390"
"Tamil Nadu","Coimbatore","Pongalur","Copra","Milling Copra","23/04/2020","9000","10900","9600"
"Tamil Nadu","Coimbatore","Pudupalayam","Coconut","Coconut","23/04/2020","3000","3200","3100"
"Tamil Nadu","Coimbatore","Udumalpet","Copra","other","23/04/2020","9800","10800","10200"
"Tamil Nadu","Coimbatore","Udumalpet","Maize","Hybrid Red (Cattle Feed)","23/04/2020","1450","1550","1500"
"Tamil Nadu","Kancheepuram","Chengalpattu","Paddy(Dhan)(Common)","ADT 37","23/04/2020","1359","1621","1490"
"Tamil Nadu","Kancheepuram","Sunguvarchatram","Paddy(Dhan)(Common)","ADT 37","23/04/2020","1359","1621","1490"
"Tamil Nadu","Kancheepuram","Thirukkalukundram","Paddy(Dhan)(Common)","ADT 37","23/04/2020","1359","1621","1490"
"Tamil Nadu","Thanjavur","Budalur","Paddy(Dhan)(Common)","B P T","23/04/2020","1800","2000","1900"
"Uttar Pradesh","Aligarh","Khair","Apple","Delicious","23/04/2020","6400","6500","6450"
"Uttar Pradesh","Aligarh","Khair","Banana","Banana - Ripe","23/04/2020","2450","2600","2550"
"Uttar Pradesh","Aligarh","Khair","Bhindi(Ladies Finger)","Bhindi","23/04/2020","1900","2000","1950"
"Uttar Pradesh","Aligarh","Khair","Bottle gourd","Bottle Gourd","23/04/2020","600","700","650"
"Uttar Pradesh","Aligarh","Khair","Brinjal","Round/Long","23/04/2020","800","870","850"
"Uttar Pradesh","Aligarh","Khair","Cauliflower","Cauliflower","23/04/2020","800","900","850"
"Uttar Pradesh","Aligarh","Khair","Cucumbar(Kheera)","Cucumbar","23/04/2020","450","530","500"
"Uttar Pradesh","Aligarh","Khair","Ginger(Green)","Green Ginger","23/04/2020","4800","4900","4850"
"Uttar Pradesh","Aligarh","Khair","Green Chilli","Green Chilly","23/04/2020","1300","1400","1350"
"Uttar Pradesh","Aligarh","Khair","Onion","Red","23/04/2020","1050","1200","1100"
"Uttar Pradesh","Aligarh","Khair","Pomegranate","Pomogranate","23/04/2020","5400","5550","5450"
"Uttar Pradesh","Aligarh","Khair","Potato","Desi","23/04/2020","1200","1400","1350"
"Uttar Pradesh","Aligarh","Khair","Pumpkin","Pumpkin","23/04/2020","500","600","550"
"Uttar Pradesh","Aligarh","Khair","Raddish","Raddish","23/04/2020","700","800","750"
"Uttar Pradesh","Aligarh","Khair","Tomato","Hybrid","23/04/2020","700","850","800"
"Uttar Pradesh","Deoria","Barhaj","Barley (Jau)","Dara","23/04/2020","1820","1860","1840"
"Uttar Pradesh","Deoria","Barhaj","Bhindi(Ladies Finger)","Bhindi","23/04/2020","1400","1450","1430"
"Uttar Pradesh","Deoria","Barhaj","Bitter gourd","Bitter Gourd","23/04/2020","1550","1600","1580"
"Uttar Pradesh","Deoria","Barhaj","Bottle gourd","Bottle Gourd","23/04/2020","750","800","775"
"Uttar Pradesh","Deoria","Barhaj","Cabbage","Cabbage","23/04/2020","750","800","780"
"Uttar Pradesh","Deoria","Barhaj","Cauliflower","Local","23/04/2020","760","790","780"
"Uttar Pradesh","Deoria","Barhaj","Garlic","Garlic","23/04/2020","6000","6200","6100"
"Uttar Pradesh","Deoria","Barhaj","Ginger(Green)","Green Ginger","23/04/2020","5400","5550","5500"
